movie_title,movie_ratings,release_year,movie_duration
 Per qualche dollaro in più,8.2 ,1965,2h 12m
 Batman Begins,8.2 ,2005,2h 20m
 The Wolf of Wall Street,8.2 ,2013,3h
 Some Like It Hot,8.2 ,1959,2h 1m
 The Kid,8.2 ,1921,1h 8m
 Green Book,8.2 ,2018,2h 10m
 The Father,8.2 ,2020,1h 37m
 Top Gun: Maverick,8.2 ,2022,2h 10m
 Judgment at Nuremberg,8.3 ,1961,2h 59m
 All About Eve,8.2 ,1950,2h 18m
 The Truman Show,8.2 ,1998,1h 43m
 There Will Be Blood,8.2 ,2007,2h 38m
 Shutter Island,8.2 ,2010,2h 18m
 Casino,8.2 ,1995,2h 58m
 Ran,8.2 ,1985,2h 40m
 Jurassic Park,8.2 ,1993,2h 7m
 The Sixth Sense,8.2 ,1999,1h 47m
 El laberinto del fauno,8.2 ,2006,1h 58m
 Unforgiven,8.2 ,1992,2h 10m
 A Beautiful Mind,8.2 ,2001,2h 15m
 No Country for Old Men,8.2 ,2007,2h 2m
 The Thing,8.2 ,1982,1h 49m
 The Treasure of the Sierra Madre,8.2 ,1948,2h 6m
 Kill Bill: Vol,8.2 ,2003,1h 51m
 Yôjinbô,8.2 ,1961,1h 50m
 Monty Python and the Holy Grail,8.2 ,1975,1h 31m
 The Great Escape,8.2 ,1963,2h 52m
 Finding Nemo,8.2 ,2003,1h 40m
 Rashômon,8.2 ,1950,1h 28m
 Hauru no ugoku shiro,8.2 ,2004,1h 59m
 Prisoners,8.1 ,2013,2h 33m
 The Elephant Man,8.2 ,1980,2h 4m
 Chinatown,8.1 ,1974,2h 10m
 Dial M for Murder,8.2 ,1954,1h 45m
 Gone with the Wind,8.2 ,1939,3h 58m
 V for Vendetta,8.2 ,2005,2h 12m
" Lock, Stock and Two Smoking Barrels",8.1 ,1998,1h 47m
 El secreto de sus ojos,8.2 ,2009,2h 9m
 Raging Bull,8.1 ,1980,2h 9m
 Inside Out,8.1 ,2015,1h 35m
" Three Billboards Outside Ebbing, Missouri",8.1 ,2017,1h 55m
